"MUN","XCOORD","YCOORD"
"11020",-101.622402619254,21.1247492265114
"11021",-101.244689234573,20.084315639925
"11022",-101.472996964955,21.5795705229412
"11023",-101.815845251719,20.4016179668566
"11024",-101.361258765157,20.5499275211471
"11025",-101.92856313345,20.9275155917952
"11026",-101.595128543105,20.8257897107067
"11027",-101.165096097846,20.6251100831074
"11028",-100.915131003509,20.2075615236708
"11029",-100.846413719386,21.4421659123001
"11030",-101.233698870785,21.5032001413986
"11031",-101.788519659643,20.9191240373251
"11032",-100.388591694947,21.0023217753067
"11033",-100.476249552308,21.3993684008455
"11034",-100.071901853159,21.1506777308778
"11035",-100.994083875336,20.6741043624255
"11036",-100.990364325898,20.1582334282212
"11037",-101.437783626691,20.9631153196736
"11038",-100.528905639585,20.0044796271076
"11039",-100.741496631649,20.2967359221273
"11040",-100.156006165872,21.0322910909405
"11041",-101.15261599795,20.1196924900032
"11042",-101.27056092449,20.3783282096513
"11043",-100.214610008736,21.3659571873813
"11044",-100.992512261327,20.541961839221
"11045",-99.9785212694603,21.3567596937732
"11046",-101.225526179337,20.1831509696858
"12001",-99.7142396373444,16.9572484211159
"12002",-98.9513727403043,17.7522733252165
"12003",-100.607733894575,17.9190154769102
"12004",-98.3661073544493,17.3758990461437
"12005",-98.5105692417184,17.6422353566098
"12006",-99.980897420459,18.0912311202772
"12007",-100.198786369492,18.2526189793946
"12008",-99.0699586580551,18.1443753573232
"12009",-98.5826860899919,17.2702389893302
"12010",-98.9030450987317,17.5143374680121
"12011",-100.342067827562,17.3328223622108
"12012",-99.0675362714923,16.9572710803179
"12013",-98.5724042793699,16.6836010373194
"12014",-100.427116956312,17.0965416813544
"12015",-99.4207333582964,18.4615699058408
"12016",-101.649441916377,18.2830262203131
"12017",-99.713663668283,18.1322956600176
"12018",-98.9306041563229,16.608034081443
"12019",-99.0520424116233,17.9821430002258
